"#Survival to DCV, Different Doses, Post-Infection Temperature 18ºC and 25ºC"							
#Replicate (vial number)
#Time (d.p.i.)
#Status (1=Dead.0=alive)
#Sample=Sample name (code)
#Wol=Wolbachia status
#Dose=Virus dose
#Sex
#Temp
Replicate	Time	Status	Sample	Wolb	Dose	Sex	Temp
1	6	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	7	1	E9_iso	Wolb-	E9	M	18C
1	8	1	E9_iso	Wolb-	E9	M	18C
1	8	1	E9_iso	Wolb-	E9	M	18C
1	8	1	E9_iso	Wolb-	E9	M	18C
2	6	1	E9_iso	Wolb-	E9	M	18C
2	6	1	E9_iso	Wolb-	E9	M	18C
2	6	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
2	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	7	1	E9_iso	Wolb-	E9	M	18C
3	8	1	E9_iso	Wolb-	E9	M	18C
3	8	1	E9_iso	Wolb-	E9	M	18C
3	8	1	E9_iso	Wolb-	E9	M	18C
3	8	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	7	1	E9_iso	Wolb-	E9	M	18C
4	8	1	E9_iso	Wolb-	E9	M	18C
5	6	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
5	7	1	E9_iso	Wolb-	E9	M	18C
