Replicate,Time,Status,Condition,Sex,Test
1,4,1,iso rifampicin,M,A
1,8,1,iso rifampicin,M,A
1,9,1,iso rifampicin,M,A
1,9,1,iso rifampicin,M,A
1,10,1,iso rifampicin,M,A
1,15,1,iso rifampicin,M,A
1,15,1,iso rifampicin,M,A
1,20,0,iso rifampicin,M,A
1,20,0,iso rifampicin,M,A
1,20,0,iso rifampicin,M,A
2,8,1,iso rifampicin,M,A
2,8,1,iso rifampicin,M,A
2,8,1,iso rifampicin,M,A
2,8,1,iso rifampicin,M,A
2,8,1,iso rifampicin,M,A
2,9,1,iso rifampicin,M,A
2,9,1,iso rifampicin,M,A
2,10,1,iso rifampicin,M,A
2,10,1,iso rifampicin,M,A
2,10,1,iso rifampicin,M,A
3,9,1,iso rifampicin,M,A
3,10,1,iso rifampicin,M,A
3,11,1,iso rifampicin,M,A
3,14,1,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
3,20,0,iso rifampicin,M,A
4,8,1,iso rifampicin,M,A
4,8,1,iso rifampicin,M,A
4,8,1,iso rifampicin,M,A
4,10,1,iso rifampicin,M,A
4,10,1,iso rifampicin,M,A
4,10,1,iso rifampicin,M,A
4,12,1,iso rifampicin,M,A
4,13,1,iso rifampicin,M,A
4,14,1,iso rifampicin,M,A
4,20,0,iso rifampicin,M,A
5,5,1,iso rifampicin,M,A
5,8,1,iso rifampicin,M,A
5,9,1,iso rifampicin,M,A
5,9,1,iso rifampicin,M,A
5,9,1,iso rifampicin,M,A
5,9,1,iso rifampicin,M,A
5,10,1,iso rifampicin,M,A
5,10,1,iso rifampicin,M,A
5,10,1,iso rifampicin,M,A
5,20,0,iso rifampicin,M,A
1,8,1,CS rifampicin,M,A
1,9,1,CS rifampicin,M,A
1,9,1,CS rifampicin,M,A
1,10,1,CS rifampicin,M,A
1,10,1,CS rifampicin,M,A
1,10,1,CS rifampicin,M,A
1,12,1,CS rifampicin,M,A
1,12,1,CS rifampicin,M,A
1,12,1,CS rifampicin,M,A
1,12,1,CS rifampicin,M,A
2,8,1,CS rifampicin,M,A
2,8,1,CS rifampicin,M,A
2,10,1,CS rifampicin,M,A
2,12,1,CS rifampicin,M,A
2,12,1,CS rifampicin,M,A
2,13,1,CS rifampicin,M,A
2,15,1,CS rifampicin,M,A
2,15,1,CS rifampicin,M,A
2,20,0,CS rifampicin,M,A
2,20,0,CS rifampicin,M,A
3,13,1,CS rifampicin,M,A
3,16,1,CS rifampicin,M,A
3,18,1,CS rifampicin,M,A
3,19,1,CS rifampicin,M,A
3,20,1,CS rifampicin,M,A
3,20,0,CS rifampicin,M,A
3,20,0,CS rifampicin,M,A
3,20,0,CS rifampicin,M,A
3,20,0,CS rifampicin,M,A
3,20,0,CS rifampicin,M,A
4,8,1,CS rifampicin,M,A
4,8,1,CS rifampicin,M,A
4,9,1,CS rifampicin,M,A
4,12,1,CS rifampicin,M,A
4,13,1,CS rifampicin,M,A
4,13,1,CS rifampicin,M,A
4,17,1,CS rifampicin,M,A
4,20,0,CS rifampicin,M,A
4,20,0,CS rifampicin,M,A
4,20,0,CS rifampicin,M,A
5,10,1,CS rifampicin,M,A
5,10,1,CS rifampicin,M,A
5,11,1,CS rifampicin,M,A
5,12,1,CS rifampicin,M,A
5,13,1,CS rifampicin,M,A
5,16,1,CS rifampicin,M,A
5,17,1,CS rifampicin,M,A
5,18,1,CS rifampicin,M,A
5,20,0,CS rifampicin,M,A
5,20,0,CS rifampicin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,8,1,iso ampicillin,M,A
1,10,1,iso ampicillin,M,A
1,10,1,iso ampicillin,M,A
2,8,1,iso ampicillin,M,A
2,8,1,iso ampicillin,M,A
2,8,1,iso ampicillin,M,A
2,8,1,iso ampicillin,M,A
2,9,1,iso ampicillin,M,A
2,10,1,iso ampicillin,M,A
2,11,1,iso ampicillin,M,A
2,18,1,iso ampicillin,M,A
2,20,0,iso ampicillin,M,A
2,20,0,iso ampicillin,M,A
3,8,1,iso ampicillin,M,A
3,8,1,iso ampicillin,M,A
3,9,1,iso ampicillin,M,A
3,12,1,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
3,20,0,iso ampicillin,M,A
4,8,1,iso ampicillin,M,A
4,9,1,iso ampicillin,M,A
4,9,1,iso ampicillin,M,A
4,10,1,iso ampicillin,M,A
4,12,1,iso ampicillin,M,A
4,16,1,iso ampicillin,M,A
4,20,0,iso ampicillin,M,A
4,20,0,iso ampicillin,M,A
4,20,0,iso ampicillin,M,A
4,20,0,iso ampicillin,M,A
5,8,1,iso ampicillin,M,A
5,8,1,iso ampicillin,M,A
5,8,1,iso ampicillin,M,A
5,9,1,iso ampicillin,M,A
5,9,1,iso ampicillin,M,A
5,10,1,iso ampicillin,M,A
5,10,1,iso ampicillin,M,A
5,20,0,iso ampicillin,M,A
5,20,0,iso ampicillin,M,A
5,20,0,iso ampicillin,M,A
1,19,1,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
1,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
2,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
3,20,0,CS ampicillin,M,A
4,14,1,CS ampicillin,M,A
4,14,1,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
4,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
5,20,0,CS ampicillin,M,A
1,1,1,iso streptomycin,M,A
1,2,1,iso streptomycin,M,A
1,8,1,iso streptomycin,M,A
1,8,1,iso streptomycin,M,A
1,9,1,iso streptomycin,M,A
1,9,1,iso streptomycin,M,A
1,9,1,iso streptomycin,M,A
1,16,1,iso streptomycin,M,A
1,18,1,iso streptomycin,M,A
1,20,0,iso streptomycin,M,A
2,8,1,iso streptomycin,M,A
2,9,1,iso streptomycin,M,A
2,9,1,iso streptomycin,M,A
2,10,1,iso streptomycin,M,A
2,11,1,iso streptomycin,M,A
2,11,1,iso streptomycin,M,A
2,13,1,iso streptomycin,M,A
2,20,0,iso streptomycin,M,A
2,20,0,iso streptomycin,M,A
2,20,0,iso streptomycin,M,A
3,8,1,iso streptomycin,M,A
3,8,1,iso streptomycin,M,A
3,8,1,iso streptomycin,M,A
3,8,1,iso streptomycin,M,A
3,9,1,iso streptomycin,M,A
3,9,1,iso streptomycin,M,A
3,9,1,iso streptomycin,M,A
3,9,1,iso streptomycin,M,A
3,10,1,iso streptomycin,M,A
3,10,1,iso streptomycin,M,A
4,8,1,iso streptomycin,M,A
4,9,1,iso streptomycin,M,A
4,10,1,iso streptomycin,M,A
4,11,1,iso streptomycin,M,A
4,13,1,iso streptomycin,M,A
4,14,1,iso streptomycin,M,A
4,15,1,iso streptomycin,M,A
4,20,0,iso streptomycin,M,A
4,20,0,iso streptomycin,M,A
