##Survival to DCV, Single Dose, Pre-Infection temp 18 and 25 ºC, Post-Infection Temperature 18ºC and 25ºC
#Replicate - Vial number
#Time - d.p.i.
#Status - (1=dead, 0=censored)
#Sample = sample name
#Wolb = Wolbachia Status
#Pre_Temp = Pre-infection temperature
#Post_Temp= Post-infection temperature
Replicate;Time;Status;Sample;Wolb;Pre_Temp;Post_Temp;Sex
1;7;1;25_18 iso;Wolb-;25;18;M
1;7;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;8;1;25_18 iso;Wolb-;25;18;M
1;9;1;25_18 iso;Wolb-;25;18;M
1;20;0;25_18 iso;Wolb-;25;18;M
2;11;1;25_18 iso;Wolb-;25;18;M
2;11;1;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
2;20;0;25_18 iso;Wolb-;25;18;M
3;8;1;25_18 iso;Wolb-;25;18;M
3;9;1;25_18 iso;Wolb-;25;18;M
3;9;1;25_18 iso;Wolb-;25;18;M
3;10;1;25_18 iso;Wolb-;25;18;M
3;10;1;25_18 iso;Wolb-;25;18;M
3;11;1;25_18 iso;Wolb-;25;18;M
3;11;1;25_18 iso;Wolb-;25;18;M
3;20;0;25_18 iso;Wolb-;25;18;M
3;20;0;25_18 iso;Wolb-;25;18;M
3;20;0;25_18 iso;Wolb-;25;18;M
4;8;1;25_18 iso;Wolb-;25;18;M
4;8;1;25_18 iso;Wolb-;25;18;M
4;10;1;25_18 iso;Wolb-;25;18;M
4;10;1;25_18 iso;Wolb-;25;18;M
4;10;1;25_18 iso;Wolb-;25;18;M
4;10;1;25_18 iso;Wolb-;25;18;M
4;19;1;25_18 iso;Wolb-;25;18;M
4;20;0;25_18 iso;Wolb-;25;18;M
4;20;0;25_18 iso;Wolb-;25;18;M
4;20;0;25_18 iso;Wolb-;25;18;M
5;8;1;25_18 iso;Wolb-;25;18;M
5;8;1;25_18 iso;Wolb-;25;18;M
5;8;1;25_18 iso;Wolb-;25;18;M
5;9;1;25_18 iso;Wolb-;25;18;M
5;9;1;25_18 iso;Wolb-;25;18;M
5;10;1;25_18 iso;Wolb-;25;18;M
5;20;1;25_18 iso;Wolb-;25;18;M
5;20;0;25_18 iso;Wolb-;25;18;M
5;20;0;25_18 iso;Wolb-;25;18;M
5;20;0;25_18 iso;Wolb-;25;18;M
6;8;1;25_18 iso;Wolb-;25;18;M
6;8;1;25_18 iso;Wolb-;25;18;M
6;9;1;25_18 iso;Wolb-;25;18;M
6;9;1;25_18 iso;Wolb-;25;18;M
6;9;1;25_18 iso;Wolb-;25;18;M
6;9;1;25_18 iso;Wolb-;25;18;M
6;10;1;25_18 iso;Wolb-;25;18;M
6;10;1;25_18 iso;Wolb-;25;18;M
6;11;1;25_18 iso;Wolb-;25;18;M
6;15;1;25_18 iso;Wolb-;25;18;M
7;8;1;25_18 iso;Wolb-;25;18;M
7;10;1;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
7;20;0;25_18 iso;Wolb-;25;18;M
8;8;1;25_18 iso;Wolb-;25;18;M
8;8;1;25_18 iso;Wolb-;25;18;M
8;9;1;25_18 iso;Wolb-;25;18;M
8;9;1;25_18 iso;Wolb-;25;18;M
8;9;1;25_18 iso;Wolb-;25;18;M
8;9;1;25_18 iso;Wolb-;25;18;M
8;10;1;25_18 iso;Wolb-;25;18;M
8;10;1;25_18 iso;Wolb-;25;18;M
8;10;1;25_18 iso;Wolb-;25;18;M
8;10;1;25_18 iso;Wolb-;25;18;M
9;8;1;25_18 iso;Wolb-;25;18;M
9;8;1;25_18 iso;Wolb-;25;18;M
9;8;1;25_18 iso;Wolb-;25;18;M
9;9;1;25_18 iso;Wolb-;25;18;M
9;9;1;25_18 iso;Wolb-;25;18;M
9;9;1;25_18 iso;Wolb-;25;18;M
9;9;1;25_18 iso;Wolb-;25;18;M
9;10;1;25_18 iso;Wolb-;25;18;M
9;13;1;25_18 iso;Wolb-;25;18;M
9;20;1;25_18 iso;Wolb-;25;18;M
10;8;1;25_18 iso;Wolb-;25;18;M
10;8;1;25_18 iso;Wolb-;25;18;M
10;8;1;25_18 iso;Wolb-;25;18;M
10;9;1;25_18 iso;Wolb-;25;18;M
10;10;1;25_18 iso;Wolb-;25;18;M
10;10;1;25_18 iso;Wolb-;25;18;M
10;10;1;25_18 iso;Wolb-;25;18;M
10;12;1;25_18 iso;Wolb-;25;18;M
10;20;0;25_18 iso;Wolb-;25;18;M
10;20;0;25_18 iso;Wolb-;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
1;20;0;25_18 138;Wolb+;25;18;M
2;13;1;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
2;20;0;25_18 138;Wolb+;25;18;M
3;9;1;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
3;20;0;25_18 138;Wolb+;25;18;M
4;9;1;25_18 138;Wolb+;25;18;M
4;13;1;25_18 138;Wolb+;25;18;M
4;19;1;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
4;20;0;25_18 138;Wolb+;25;18;M
5;7;1;25_18 138;Wolb+;25;18;M
5;13;1;25_18 138;Wolb+;25;18;M
5;20;1;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
5;20;0;25_18 138;Wolb+;25;18;M
6;8;1;25_18 138;Wolb+;25;18;M
6;8;1;25_18 138;Wolb+;25;18;M
6;8;1;25_18 138;Wolb+;25;18;M
6;13;1;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
6;20;0;25_18 138;Wolb+;25;18;M
7;8;1;25_18 138;Wolb+;25;18;M
7;12;1;25_18 138;Wolb+;25;18;M
7;14;1;25_18 138;Wolb+;25;18;M
7;19;1;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
7;20;0;25_18 138;Wolb+;25;18;M
8;10;1;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
8;20;0;25_18 138;Wolb+;25;18;M
9;13;1;25_18 138;Wolb+;25;18;M
9;15;1;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
9;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
10;20;0;25_18 138;Wolb+;25;18;M
1;8;1;18_18 iso;Wolb-;18;18;M
1;10;1;18_18 iso;Wolb-;18;18;M
1;13;1;18_18 iso;Wolb-;18;18;M
1;16;1;18_18 iso;Wolb-;18;18;M
1;18;1;18_18 iso;Wolb-;18;18;M
1;20;0;18_18 iso;Wolb-;18;18;M
1;20;0;18_18 iso;Wolb-;18;18;M
1;20;0;18_18 iso;Wolb-;18;18;M
1;20;0;18_18 iso;Wolb-;18;18;M
1;20;0;18_18 iso;Wolb-;18;18;M
2;7;1;18_18 iso;Wolb-;18;18;M
2;9;1;18_18 iso;Wolb-;18;18;M
2;10;1;18_18 iso;Wolb-;18;18;M
2;10;1;18_18 iso;Wolb-;18;18;M
2;10;1;18_18 iso;Wolb-;18;18;M
2;10;1;18_18 iso;Wolb-;18;18;M
2;12;1;18_18 iso;Wolb-;18;18;M
2;12;1;18_18 iso;Wolb-;18;18;M
2;12;1;18_18 iso;Wolb-;18;18;M
2;15;1;18_18 iso;Wolb-;18;18;M
3;7;1;18_18 iso;Wolb-;18;18;M
3;7;1;18_18 iso;Wolb-;18;18;M
3;8;1;18_18 iso;Wolb-;18;18;M
3;8;1;18_18 iso;Wolb-;18;18;M
3;9;1;18_18 iso;Wolb-;18;18;M
3;9;1;18_18 iso;Wolb-;18;18;M
3;10;1;18_18 iso;Wolb-;18;18;M
3;20;0;18_18 iso;Wolb-;18;18;M
3;20;0;18_18 iso;Wolb-;18;18;M
3;20;0;18_18 iso;Wolb-;18;18;M
4;8;1;18_18 iso;Wolb-;18;18;M
4;9;1;18_18 iso;Wolb-;18;18;M
4;9;1;18_18 iso;Wolb-;18;18;M
4;9;1;18_18 iso;Wolb-;18;18;M
4;10;1;18_18 iso;Wolb-;18;18;M
4;10;1;18_18 iso;Wolb-;18;18;M
4;15;1;18_18 iso;Wolb-;18;18;M
4;18;1;18_18 iso;Wolb-;18;18;M
4;20;0;18_18 iso;Wolb-;18;18;M
4;20;0;18_18 iso;Wolb-;18;18;M
5;7;1;18_18 iso;Wolb-;18;18;M
5;8;1;18_18 iso;Wolb-;18;18;M
5;9;1;18_18 iso;Wolb-;18;18;M
5;9;1;18_18 iso;Wolb-;18;18;M
5;9;1;18_18 iso;Wolb-;18;18;M
5;10;1;18_18 iso;Wolb-;18;18;M
5;10;1;18_18 iso;Wolb-;18;18;M
5;10;1;18_18 iso;Wolb-;18;18;M
5;11;1;18_18 iso;Wolb-;18;18;M
5;17;1;18_18 iso;Wolb-;18;18;M
6;7;1;18_18 iso;Wolb-;18;18;M
6;8;1;18_18 iso;Wolb-;18;18;M
6;9;1;18_18 iso;Wolb-;18;18;M
6;9;1;18_18 iso;Wolb-;18;18;M
6;10;1;18_18 iso;Wolb-;18;18;M
6;11;1;18_18 iso;Wolb-;18;18;M
6;18;1;18_18 iso;Wolb-;18;18;M
6;20;0;18_18 iso;Wolb-;18;18;M
6;20;0;18_18 iso;Wolb-;18;18;M
6;20;0;18_18 iso;Wolb-;18;18;M
7;7;1;18_18 iso;Wolb-;18;18;M
7;11;1;18_18 iso;Wolb-;18;18;M
7;14;1;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
7;20;0;18_18 iso;Wolb-;18;18;M
8;4;1;18_18 iso;Wolb-;18;18;M
8;7;1;18_18 iso;Wolb-;18;18;M
8;8;1;18_18 iso;Wolb-;18;18;M
8;8;1;18_18 iso;Wolb-;18;18;M
8;8;1;18_18 iso;Wolb-;18;18;M
8;8;1;18_18 iso;Wolb-;18;18;M
8;10;1;18_18 iso;Wolb-;18;18;M
8;11;1;18_18 iso;Wolb-;18;18;M
8;12;1;18_18 iso;Wolb-;18;18;M
8;20;0;18_18 iso;Wolb-;18;18;M
9;7;1;18_18 iso;Wolb-;18;18;M
9;7;1;18_18 iso;Wolb-;18;18;M
9;8;1;18_18 iso;Wolb-;18;18;M
9;9;1;18_18 iso;Wolb-;18;18;M
9;15;1;18_18 iso;Wolb-;18;18;M
9;20;0;18_18 iso;Wolb-;18;18;M
9;20;0;18_18 iso;Wolb-;18;18;M
9;20;0;18_18 iso;Wolb-;18;18;M
9;20;0;18_18 iso;Wolb-;18;18;M
9;20;0;18_18 iso;Wolb-;18;18;M
10;7;1;18_18 iso;Wolb-;18;18;M
10;8;1;18_18 iso;Wolb-;18;18;M
10;9;1;18_18 iso;Wolb-;18;18;M
10;9;1;18_18 iso;Wolb-;18;18;M
10;10;1;18_18 iso;Wolb-;18;18;M
10;10;1;18_18 iso;Wolb-;18;18;M
10;10;1;18_18 iso;Wolb-;18;18;M
10;20;0;18_18 iso;Wolb-;18;18;M
10;20;0;18_18 iso;Wolb-;18;18;M
10;20;0;18_18 iso;Wolb-;18;18;M
1;8;1;18_18 138;Wolb+;18;18;M
1;9;1;18_18 138;Wolb+;18;18;M
1;9;1;18_18 138;Wolb+;18;18;M
1;10;1;18_18 138;Wolb+;18;18;M
1;10;1;18_18 138;Wolb+;18;18;M
1;10;1;18_18 138;Wolb+;18;18;M
1;10;1;18_18 138;Wolb+;18;18;M
1;10;1;18_18 138;Wolb+;18;18;M
1;11;1;18_18 138;Wolb+;18;18;M
1;13;1;18_18 138;Wolb+;18;18;M
2;7;1;18_18 138;Wolb+;18;18;M
2;7;1;18_18 138;Wolb+;18;18;M
2;9;1;18_18 138;Wolb+;18;18;M
2;10;1;18_18 138;Wolb+;18;18;M
2;10;1;18_18 138;Wolb+;18;18;M
2;12;1;18_18 138;Wolb+;18;18;M
2;20;0;18_18 138;Wolb+;18;18;M
2;20;0;18_18 138;Wolb+;18;18;M
2;20;0;18_18 138;Wolb+;18;18;M
2;20;0;18_18 138;Wolb+;18;18;M
3;3;1;18_18 138;Wolb+;18;18;M
3;7;1;18_18 138;Wolb+;18;18;M
3;7;1;18_18 138;Wolb+;18;18;M
3;9;1;18_18 138;Wolb+;18;18;M
3;9;1;18_18 138;Wolb+;18;18;M
3;9;1;18_18 138;Wolb+;18;18;M
3;11;1;18_18 138;Wolb+;18;18;M
3;12;1;18_18 138;Wolb+;18;18;M
3;14;1;18_18 138;Wolb+;18;18;M
3;20;0;18_18 138;Wolb+;18;18;M
4;7;1;18_18 138;Wolb+;18;18;M
4;7;1;18_18 138;Wolb+;18;18;M
4;8;1;18_18 138;Wolb+;18;18;M
4;8;1;18_18 138;Wolb+;18;18;M
4;8;1;18_18 138;Wolb+;18;18;M
4;10;1;18_18 138;Wolb+;18;18;M
4;11;1;18_18 138;Wolb+;18;18;M
4;13;1;18_18 138;Wolb+;18;18;M
4;14;1;18_18 138;Wolb+;18;18;M
4;17;1;18_18 138;Wolb+;18;18;M
5;8;1;18_18 138;Wolb+;18;18;M
5;9;1;18_18 138;Wolb+;18;18;M
5;9;1;18_18 138;Wolb+;18;18;M
5;10;1;18_18 138;Wolb+;18;18;M
