Replicate	Time	Status	Genotype	Wolbachia	Preinf	Dose	Sex	Test	Gen	Condition
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	8	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	8	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
1	8	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	8	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
2	8	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
3	9	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	6	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
4	7	1	Alj1c E9 18-18	Wol+	18	E9	M	27_11_2014	Alj1c	18-18
