Replicate	Time	Status	Genotype	Wolbachia	Preinf	Dose	Sex	Test
1	20	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	23	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	20	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	20	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	25	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
2	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	19	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	20	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	23	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	23	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
3	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	9	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	21	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	23	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
4	30	0	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	18	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	19	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	20	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	22	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	23	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
5	24	1	iso E7 18-18	Wol-	18	E7	M	21_11_2014
1	21	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	24	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	18	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
2	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	20	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	21	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	22	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	25	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
3	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	21	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	22	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	25	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	26	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	26	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
4	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	23	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	24	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	25	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	25	1	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
5	30	0	CS E7 18-18	Wol+	18	E7	M	21_11_2014
1	17	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	17	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	17	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	20	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	22	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	22	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	23	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	23	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	24	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
1	30	0	iso E8 18-18	Wol-	18	E8	M	21_11_2014
2	19	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
2	19	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
2	20	1	iso E8 18-18	Wol-	18	E8	M	21_11_2014
