Replicate;Time;Status;Sample_name;Wolbachia;Development_temperature;Aging_temperature;Infection_temperature;Sex;RepTemp;Test
1;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
1;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;6;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
2;14;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
3;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;7;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
4;9;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
5;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
5;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
5;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
5;8;1;iso 25-18-18;Wol-;25;18;18;M;25_18;A
